Company Names,Cars Names,Engines,CC/Battery Capacity,Horse Power Final,Total Speed,Performance(0 - 100 )KM/H,Car Prices Final,Fuel Types,Seats,Torque Final
Porsche,Taycan Turbo S Cross Turismo,Dual Electric Motors,,750,260,2.9,190000,Electric,4,1050
Aston Martin,DBX,V8,3996,542,291,4.5,189000,Petrol,5,700
Porsche,Taycan Turbo S,Dual Electric Motors,,750,260,2.8,185000,Electric,4,1050
Nissan,GT-R Black Edition,3.8L Twin-Turbo V6,3799,,330,2.8,185000,Petrol,2,652
Porsche,911 Turbo Cabriolet,3.8L Twin-Turbo Flat-6,3745,572,320,2.9,184100,Petrol,4,750
Porsche,Cayenne Coupe Turbo E-Hybrid,4.0L Twin-Turbo V8 + Electric Motor,3996,728,295,3.6,182900,Hybrid,4,950
Porsche,Cayenne Turbo GT,4.0L Twin-Turbo V8,3996,631,300,3.3,182150,Petrol,4,850
Porsche,Panamera Turbo S,4.0L V8 Twin Turbo,3996,,315,3.1,180000,Petrol,4,820
Porsche,Panamera Turbo Executive,4.0L Twin-Turbo V8,3996,550,306,3.8,175200,Petrol,4,770
Nissan,GT-R V-Spec,3.8L Twin-Turbo V6,3799,,330,2.8,175000,Petrol,2,652
Toyota,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID",3456,406,200,6,170000,Petrol,5,500
Porsche,Cayenne Turbo S E-Hybrid,4.0L V8 + Electric Motor,,,295,3.6,170000,Petrol/Hybrid,5,900
Porsche,911 GT3 Touring,4.0L Naturally Aspirated Flat-6,3996,502,318,3.9,170000,Petrol,2,470
Porsche,Cayenne Turbo S E-Hybrid Coupe,4.0L Twin-Turbo V8 + Electric Motor,3996,670,295,3.6,167800,Hybrid,4,900
Bmw,I8 ROADSTER,ELECTRIC MOTOR,,369,250,4.4,165000,Hybrid,2,570
Porsche,911 GT3,4.0L Naturally Aspirated Flat-6,3996,502,318,3.4,161100,Petrol,2,469
Mercedes, GT 63 S,V8,3982,630,250,3.2,161000,Petrol,4,900
Volvo,Volvo FH16,16.1L I6 Turbo Diesel,16100,750,120,14.5,160000,Diesel,2,3500
Porsche,911 Targa 4 GTS,3.0L Twin-Turbo Flat-6,2981,473,307,3.5,157300,Petrol,4,570
Acura,NSX 3.5L Hybrid Coupe,Twin-Turbo V6 Hybrid,3493,537,307,2.9,157000,Hybrid,2,666
Acura,NSX Carbon Edition,Twin-Turbo V6 Hybrid,3493,537,307,2.9,157000,Hybrid,2,666
Acura,NSX Type S,Twin-Turbo V6 Hybrid,,600,307,2.9,157000,Hybrid,2,666
Porsche,Taycan Turbo,Dual Electric Motors,,670,260,3.2,150900,Electric,4,850
Acura,NSX GT3 (Track Version),Twin-Turbo V6 Hybrid,3493,500,300,3,150000,Hybrid,2,600
Volkswagen,Volkswagen XL1,Plug-in Hybrid (0.8L I2 Diesel),,68,160,11.9,150000,Hybrid,2,140
Cadillac,Escalade V,6.2L Supercharged V8 Gasoline,6200,682,200,4.4,149990,Petrol,7,885
Bmw,M8 GRAN COUPE,V8,4395,523,305,3.3,146000,Petrol,5,750
Porsche,911 Carrera GTS Lightweight,3.0L Twin-Turbo Flat-6,2981,473,311,3.2,145300,Petrol,4,570
Bmw,M5 CS,V8,4395,627,305,3,142000,Petrol,5,750
Aston Martin,VANTAGE ,V8,3996,503,313,3.6,142000,Petrol,2,685
Porsche,718 Cayman GT4 RS,4.0L Naturally Aspirated Flat-6,3996,493,315,3.2,141700,Petrol,2,450
Porsche,Taycan Cross Turismo GTS,Dual Electric Motors,,590,250,3.8,139400,Electric,4,620
Porsche,911 Carrera 4 GTS,3.0L Twin-Turbo Flat-6,2981,473,311,3.3,137000,Petrol,4,570
Porsche,Panamera GTS Sport Turismo,4.0L Twin-Turbo V8,3996,473,300,3.9,136900,Petrol,4,620
Porsche,Taycan Sport Turismo GTS,Dual Electric Motors,,590,250,3.7,136700,Electric,4,620
Porsche,911 Targa 4 Lightweight,3.0L Twin-Turbo Flat-6,2981,379,289,4.3,135500,Petrol,4,450
Bmw,M4 GTS,I6,2993,493,305,3.7,133000,Petrol,4,600
Porsche,Taycan GTS,Dual Electric Motors,,590,250,3.5,132750,Electric,4,850
Porsche,911 Carrera S,3.0L Twin-Turbo Flat-6,2981,443,308,3.5,131300,Petrol,4,528
Porsche,Cayenne Turbo,4.0L V8 Twin Turbo,3996,,286,4,130000,Petrol,5,770
Porsche,Panamera GTS,4.0L V8 Twin Turbo,3996,,300,3.9,130000,Petrol,4,620
Porsche,911 Carrera S Cabriolet,3.0L Twin-Turbo Flat-6,2981,443,304,3.9,129900,Petrol,4,530
Porsche,Panamera 4S E-Hybrid Executive,2.9L Twin-Turbo V6 + Electric Motor,2894,560,295,3.7,128900,Hybrid,4,750
Volvo,Volvo VNL,12.8L I6 Turbo Diesel,12800,500,120,15,125000,Diesel,2,2400
Porsche,911 Targa 4,3.0L Twin-Turbo Flat-6,2981,379,289,4.4,121300,Petrol,4,450
Porsche,Panamera 4 E-Hybrid Sport Turismo,2.9L V6 + Electric Motor,,,280,4.4,120000,Petrol/Hybrid,4,700
Volvo,Volvo FH,13.0L I6 Turbo Diesel,13000,540,120,15,120000,Diesel,2,2600
Volvo,Volvo VHD,12.8L I6 Turbo Diesel,12800,500,100,18,120000,Diesel,2,2500
Jaguar Land Rover,Jaguar F-Type SVR,V8 Petrol,,575,320,3.7,120000,Petrol,2,700
Mercedes,BENZ S-CLASS S 580,V8,3982,496,250,4.4,116000,Petrol,5,700
Porsche,911 Sport Turismo,3.0L Twin-Turbo Flat-6,2981,379,293,4.4,116000,Petrol,4,450
Porsche,Panamera E-Hybrid,2.9L V6 + Electric Motor,,,280,4.4,115000,Petrol/Hybrid,4,700
Bmw,X5 M COMPETITION,V8,4935,523,285,4.1,114000,Petrol,5,750
Audi,RS7 SPORTBACK,V8,3993,591,305,3.6,114000,Petrol,5,800
Tesla,Model X Plaid,Tri Electric Motors,,1020,262,2.6,113490,Electric,6,1400
Porsche,911 Carrera 4S,3.0L Twin-Turbo Flat-6,2981,443,306,3.4,113300,Petrol,4,528
Porsche,Panamera 4 E-Hybrid,2.9L Twin-Turbo V6 + Electric Motor,2894,462,280,4.4,113300,Hybrid,4,700
Mercedes,BENZ GLE 63 S,V8,3982,603,250,4.2,113000,Petrol,5,850
Nissan,GT-R,V6,3799,600,315,2.9,113000,Petrol,4,637
Gmc,Hummer EV Omega Edition,"Electric motors with up to 11,500 lb-ft torque",,,170,3,112700,Electric,5,15590
Porsche,Cayenne GTS Coupe,4.0L Twin-Turbo V8,3996,453,270,4.5,111200,Petrol,4,620
Porsche,Cayenne GTS,4.0L V8 Twin Turbo,3996,,270,4.5,110000,Petrol,5,620
Gmc,Hummer EV SUV Extreme Off-Road,"Electric motors with up to 11,500 lb-ft torque",,,170,3.6,110000,Electric,5,15590
Porsche,911 Carrera,3.0L Flat-6 Twin Turbo,2981,,293,4.2,110000,Petrol,4,450
Volvo,Volvo FMX,13.0L I6 Turbo Diesel,13000,500,110,16.5,110000,Diesel,2,2500
Jaguar Land Rover,Jaguar F-Type Heritage Edition,V8 Petrol,,550,300,3.9,110000,Petrol,2,680
Audi,RS6 AVANT,V8,3993,591,305,3.6,109000,Petrol,5,800
Mercedes,BENZ S-CLASS S 500,V6,2996,429,250,4.9,109000,Petrol,5,700
Gmc,Hummer EV Pickup,Dual-Motor Electric,,625,170,3,108700,Electric,5,1000
Gmc,Sierra EV Denali,Electric motors with advanced AWD,,,170,4.5,108700,Electric,5,1064
Tesla,Model S Plaid,Tri Electric Motors,,1020,322,2.1,108490,Electric,5,1400
Bmw,M850i DRIVE COUPE,V8,4935,523,285,3.7,108000,Petrol,4,750
Porsche,911 Carrera 4,3.0L Twin-Turbo Flat-6,2981,379,293,4.2,106500,Petrol,4,450
Porsche,911 Carrera Base,3.0L Twin-Turbo Flat-6,2981,379,293,4.2,106100,Petrol,4,450
Gmc,Hummer EV SUV,Dual-Motor Electric,,625,170,3.5,105600,Electric,5,1000
Nissan,Patrol NISMO,5.6L V8,5552,,210,6.5,105000,Petrol,7,560
Gmc,Hummer EV Adventure Series,"Electric motors with up to 11,500 lb-ft torque",,,170,3.6,105000,Electric,5,15590
Porsche,Panamera 4S,2.9L V6 Twin Turbo,2894,,289,4.4,105000,Petrol,4,550
Porsche,Panamera 4S ,2.9L Twin-Turbo V6,2894,443,289,4.1,105000,Petrol,4,550
Cadillac,Escalade Platinum,6.2L V8 Gasoline,6200,420,210,6.8,104595,Petrol,7,624
Mercedes,BENZ E-CLASS E 63 S,V8,3982,603,250,3.4,104000,Petrol,5,850
Porsche,Taycan Sport Turismo,Dual Electric Motors,,509,240,4.1,104000,Electric,5,650
Porsche,Taycan 4S,Dual Electric Motors,,522,250,4,103800,Electric,4,640
Mercedes,BENZ EQS 53,ELECTRIC MOTOR,,751,250,3.4,102000,Electric,5,950
Porsche,Panamera Platinum Edition,2.9L V6 Twin Turbo,2894,,270,5.4,102000,Petrol,4,450
Porsche,Panamera 4 Sport Turismo,2.9L Twin-Turbo V6,2894,325,265,5.5,101400,Petrol,4,450
Audi,S8,V8,3993,563,305,4.3,101000,Petrol,5,800
Porsche,718 Cayman GT4,4.0L Naturally Aspirated Flat-6,3995,414,302,4.2,100200,Petrol,2,420
Volvo,Volvo FM,12.8L I6 Turbo Diesel,12800,460,110,16,100000,Diesel,2,2200
Jaguar Land Rover,Jaguar F-Type V8 R,V8 Petrol,,550,300,3.9,100000,Petrol,2,680
Jaguar Land Rover,Jaguar F-Type 75th Anniversary Edition,V8 Petrol,,550,300,3.9,100000,Petrol,2,680
Jaguar Land Rover,Jaguar F-Type Coupe R,V8 Petrol,,550,300,3.9,100000,Petrol,2,680
Mercedes,BENZ GT 53,V6,2996,429,250,4.5,99000,Petrol,5,700
Tesla,Model X,Dual Electric Motors (AWD),,670,250,3.8,98490,Electric,7,967
Porsche,718 Spyder,4.0L Naturally Aspirated Flat-6,3995,414,301,4.1,98300,Petrol,2,420
Nissan,Patrol Titanium,5.6L V8,5552,,210,6.5,98000,Petrol,7,560
Porsche,Taycan Cross Turismo,Dual Electric Motors,,469,220,4.8,97700,Electric,5,500
Gmc,Hummer EV SUV Edition 1,"Electric motors with up to 11,500 lb-ft torque",,,170,3.5,96550,Electric,5,15590
Gmc,Hummer EV Pickup Edition 1,"Electric motors with up to 11,500 lb-ft torque",,,170,3,96550,Electric,5,15590
Audi,S7 SPORTBACK,V8,3993,563,305,4.3,96000,Petrol,5,650
Nissan,Patrol Desert Edition,5.6L V8,5552,,210,6.5,95000,Petrol,7,560
Nissan,Patrol Warrior,5.6L V8,5552,,205,6.3,95000,Petrol,7,580
Nissan,Patrol Legend Edition,5.6L V8,5552,,205,6.3,95000,Petrol,7,580
Porsche,Cayenne S,2.9L V6 Twin Turbo,2894,,265,5,95000,Petrol,5,550
Porsche,Panamera 4 Executive,2.9L V6 Twin Turbo,2894,,270,5.6,95000,Petrol,4,450
Volvo,Volvo VNR,12.8L I6 Turbo Diesel,12800,400,110,17,95000,Diesel,2,1800
Porsche,Taycan Cross Turismo 4,Dual Electric Motors,,375,240,5.1,94800,Electric,4,500
Porsche,Cayenne S Coupe,2.9L Twin-Turbo V6,2894,434,263,4.7,94300,Petrol,4,550
Gmc,Yukon XL Denali Ultimate,6.2L V8 Gasoline,6200,420,200,6.7,93800,Petrol,8,624
Porsche,Panamera Base,2.9L Twin-Turbo V6,2894,325,265,5.6,92300,Petrol,4,450
Cadillac,CT5-V Blackwing,6.2L Supercharged V8 Gasoline,6200,668,320,3.4,92000,Petrol,5,893
Porsche,Panamera 4,2.9L V6 Twin Turbo,2894,,270,5.4,92000,Petrol,4,450
Jeep,Grand Wagoneer,6.4L V8 Gasoline,6400,471,190,6,91495,Petrol,8,617
Porsche,Cayenne E-Hybrid,3.0L V6 + Electric Motor,2995,455,253,4.8,91000,Hybrid,5,700
Porsche,Taycan Sport Turismo Base,Dual Electric Motors,,375,230,5.4,90500,Electric,4,500
Porsche,718 Boxster GTS,4.0L Naturally Aspirated Flat-6,3995,394,293,4.3,90300,Petrol,2,430
Gmc,Yukon Denali Ultimate Black,6.2L V8 engine,6162,420,210,6,90000,Petrol,8,624
Mercedes,BENZ S-CLASS S 350,I4,1991,255,250,6.5,90000,Petrol,5,500
Jaguar Land Rover,Jaguar XJ LWB (Long Wheelbase),V6 Petrol,,300,250,6,90000,Petrol,5,400
Jaguar Land Rover,Jaguar I-PACE HSE,Electric (Dual Motor),,400,200,4.5,90000,Electric,5,696
Jaguar Land Rover,Jaguar XJ Supercharged,V8 Petrol,,510,280,4.2,90000,Petrol,5,625
Jaguar Land Rover,Jaguar F-Type P450 AWD,V8 Petrol,,450,290,4,90000,Petrol,2,600
Tesla,Model S,Dual Electric Motors,,670,250,3.1,88490,Electric,5,967
Porsche,Panamera,2.9L V6 Twin Turbo,2894,,270,5.6,88000,Petrol,4,450
Porsche,Taycan,Dual Electric Motors,,402,230,5.4,86700,Electric,4,344
Porsche,Taycan Base,Dual Electric Motors,,321,230,5.4,86700,Electric,4,345
Audi,A8,V6,2995,335,250,5.7,86000,Petrol,5,600
Porsche,Cayenne S Hybrid,3.0L V6 + Electric Motor,2995,380,242,6.5,85500,Hybrid,5,580
Toyota,TOYOTA LAND CRUISER,V8,5663,381,220,6.7,85000,Diesel,7,500
Nissan,Patrol Royale,5.6L V8,5552,,210,6.6,85000,Petrol,7,560
Nissan,Patrol Black Edition,5.6L V8,5552,,200,6.5,85000,Petrol,7,560
Gmc,Sierra HD Denali Reserve,6.6L V8 engine,6600,401,170,7.5,85000,Petrol,5,629
Porsche,Cayenne Coupe,3.0L V6 Turbo,2995,,245,6,85000,Petrol,5,450
Porsche,Macan GTS,2.9L V6 Twin Turbo,2894,,272,4.5,85000,Petrol,5,550
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,,345,250,6.1,85000,Petrol,5,560
Porsche,Macan EV ,Dual Electric Motors,,603,240,4,85000,Electric,5,750
Jaguar Land Rover,Jaguar XJ,V6 Petrol,,300,250,6,85000,Petrol,5,400
Jaguar Land Rover,Jaguar I-PACE Electric Performance,Electric (Dual Motor),,400,200,4.5,85000,Electric,5,696
Jaguar Land Rover,Jaguar F-PACE SVR,V8 Petrol,,550,283,4,85000,Petrol,5,700
Jaguar Land Rover,Jaguar I-PACE EV400 HSE,Electric (Dual Motor),,400,200,4.5,85000,Electric,5,696
Jaguar Land Rover,Jaguar I-PACE First Edition,Electric (Dual Motor),,400,200,4.5,85000,Electric,5,696
Volvo,Volvo FE,7.7L I6 Turbo Diesel,7700,280,90,20,85000,Diesel,2,1200
Ford,F-150 Limited,Turbocharged V6,3500,450,190,6.1,84910,Petrol,5,678
Bmw,M2 CS,I6,2993,444,280,4,83000,Petrol,4,550
Jeep,Wrangler 392,6.4L V8 HEMI Gasoline,6400,470,160,4.5,82495,Petrol,4,637
Chevrolet,Suburban High Country,6.2L V8 Gasoline,6200,420,200,7,82400,Petrol,8,624
Cadillac,Escalade ESV,6.2L V8 Gasoline,6200,420,205,6.9,82295,Petrol,7,624
Gmc,Yukon XL Denali Reserve,6.2L V8 engine,6162,420,210,6,82000,Petrol,7,624
Gmc,Sierra 1500 AT4X,6.2L V8 engine,6162,420,200,5.9,82000,Petrol,5,624
Bmw,M4 COMPETITION,I6,2993,503,290,3.8,81000,Petrol,4,650
Gmc,Sierra 1500 Denali Ultimate,6.2L V8 engine,6162,420,200,5.8,80000,Petrol,5,624
Porsche,Cayenne,3.0L V6 Turbo,2995,,245,5.9,80000,Petrol,5,450
Jeep,Wagoneer S (Electric),Dual Electric Motors,,600,177,4.5,80000,Electric,5,850
Jaguar Land Rover,Jaguar XJ50,V6 Petrol,,300,250,6,80000,Petrol,5,400
Mitsubishi,Fuso Fighter (Truck),7.5L Diesel,7500,240,120,,80000,Diesel,2,686
Jaguar Land Rover,Jaguar F-Type V6 S Convertible,V6 Petrol,,380,280,4.8,80000,Petrol,2,460
Ford,Expedition King Ranch,Turbocharged V6,3500,440,210,6.8,79560,Petrol,8,691
Ford,Mustang Shelby GT500,Supercharged V8,5200,760,290,3.5,79420,Petrol,2,847
Cadillac,Escalade,6.2L V8 Gasoline,6200,420,210,6.8,79295,Petrol,7,624
Porsche,Cayenne Platinum Edition,3.0L Turbocharged V6,2995,335,245,5.8,79000,Petrol,5,450
Gmc,Yukon Trailering Edition,5.3L V8 engine,5327,355,210,7.5,78000,Petrol,8,519
Bmw,M550i XDRIVE,V8,4395,523,250,3.6,78000,Petrol,5,650
Audi,E-TRON SPORTBACK,ELECTRIC,,402,200,5.5,78000,Electric,5,664
Nissan,Patrol Platinum,5.6L V8,5552,,210,7.3,77000,Petrol,7,560
Nissan,Patrol,5.6L V8,5552,,210,7.3,77000,Petrol,7,560
Gmc,Yukon Denali Performance,6.2L V8 engine,6162,420,210,6,76805,Petrol,8,624
